NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 145 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.97, major to minor axis ratio is 2.91, bounding box occupancy is 0.60, spread on XZ axes is 154.92, height-to-standing ratio is 0.96, body height is 1763.3 mm, distance from floor is 964.1 mm, and floor contact ratio is 0.1240."
"In frame 146 of sequence 'adl-37', the person is normal. The body height to width ratio is 3.03, major to minor axis ratio is 2.89, bounding box occupancy is 0.56, spread on XZ axes is 143.94, height-to-standing ratio is 0.96, body height is 1772.4 mm, distance from floor is 1032.0 mm, and floor contact ratio is 0.0727."
"In frame 147 of sequence 'adl-37', the person is normal. The body height to width ratio is 3.09, major to minor axis ratio is 2.87, bounding box occupancy is 0.61, spread on XZ axes is 143.29, height-to-standing ratio is 0.95, body height is 1751.6 mm, distance from floor is 1015.5 mm, and floor contact ratio is 0.0687."
"In frame 148 of sequence 'adl-37', the person is normal. The body height to width ratio is 3.13, major to minor axis ratio is 2.96, bounding box occupancy is 0.64, spread on XZ axes is 148.16, height-to-standing ratio is 0.97, body height is 1782.5 mm, distance from floor is 981.4 mm, and floor contact ratio is 0.1109."
"In frame 149 of sequence 'adl-37', the person is normal. The body height to width ratio is 3.10, major to minor axis ratio is 2.96, bounding box occupancy is 0.65, spread on XZ axes is 146.92, height-to-standing ratio is 0.97, body height is 1785.1 mm, distance from floor is 985.5 mm, and floor contact ratio is 0.1055."
"In frame 150 of sequence 'adl-37', the person is normal. The body height to width ratio is 3.03, major to minor axis ratio is 2.97, bounding box occupancy is 0.65, spread on XZ axes is 145.19, height-to-standing ratio is 0.97, body height is 1781.2 mm, distance from floor is 988.3 mm, and floor contact ratio is 0.1004."
"In frame 151 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.90, major to minor axis ratio is 2.97, bounding box occupancy is 0.64, spread on XZ axes is 144.17, height-to-standing ratio is 0.97, body height is 1781.1 mm, distance from floor is 991.0 mm, and floor contact ratio is 0.0967."
"In frame 152 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.70, major to minor axis ratio is 2.97, bounding box occupancy is 0.61, spread on XZ axes is 139.87, height-to-standing ratio is 0.95, body height is 1755.7 mm, distance from floor is 989.1 mm, and floor contact ratio is 0.0980."
"In frame 153 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.74, major to minor axis ratio is 3.01, bounding box occupancy is 0.59, spread on XZ axes is 135.79, height-to-standing ratio is 0.97, body height is 1785.5 mm, distance from floor is 1003.6 mm, and floor contact ratio is 0.0959."
"In frame 154 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.63, major to minor axis ratio is 2.99, bounding box occupancy is 0.58, spread on XZ axes is 131.87, height-to-standing ratio is 0.97, body height is 1788.8 mm, distance from floor is 1013.1 mm, and floor contact ratio is 0.0952."
"In frame 155 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.54, major to minor axis ratio is 2.86, bounding box occupancy is 0.55, spread on XZ axes is 127.78, height-to-standing ratio is 0.97, body height is 1788.5 mm, distance from floor is 1032.4 mm, and floor contact ratio is 0.0757."
"In frame 156 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.46, major to minor axis ratio is 2.71, bounding box occupancy is 0.53, spread on XZ axes is 131.73, height-to-standing ratio is 0.97, body height is 1783.8 mm, distance from floor is 1050.6 mm, and floor contact ratio is 0.0577."
"In frame 157 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.39, major to minor axis ratio is 2.60, bounding box occupancy is 0.52, spread on XZ axes is 134.99, height-to-standing ratio is 0.97, body height is 1782.5 mm, distance from floor is 1058.8 mm, and floor contact ratio is 0.0495."
"In frame 158 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.34, major to minor axis ratio is 2.57, bounding box occupancy is 0.51, spread on XZ axes is 137.76, height-to-standing ratio is 0.97, body height is 1779.8 mm, distance from floor is 1062.7 mm, and floor contact ratio is 0.0483."
"In frame 159 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.32, major to minor axis ratio is 2.47, bounding box occupancy is 0.51, spread on XZ axes is 140.62, height-to-standing ratio is 0.97, body height is 1775.7 mm, distance from floor is 1069.1 mm, and floor contact ratio is 0.0385."
"In frame 160 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.30, major to minor axis ratio is 2.39, bounding box occupancy is 0.51, spread on XZ axes is 143.82, height-to-standing ratio is 0.96, body height is 1771.3 mm, distance from floor is 1069.9 mm, and floor contact ratio is 0.0353."
"In frame 161 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.21, major to minor axis ratio is 2.40, bounding box occupancy is 0.51, spread on XZ axes is 145.13, height-to-standing ratio is 0.96, body height is 1760.3 mm, distance from floor is 1059.2 mm, and floor contact ratio is 0.0440."
"In frame 162 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.16, major to minor axis ratio is 2.32, bounding box occupancy is 0.51, spread on XZ axes is 146.80, height-to-standing ratio is 0.96, body height is 1759.8 mm, distance from floor is 1062.7 mm, and floor contact ratio is 0.0321."
"In frame 163 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.20, major to minor axis ratio is 2.29, bounding box occupancy is 0.53, spread on XZ axes is 148.42, height-to-standing ratio is 0.95, body height is 1750.4 mm, distance from floor is 1055.3 mm, and floor contact ratio is 0.0309."
"In frame 164 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.23, major to minor axis ratio is 2.30, bounding box occupancy is 0.55, spread on XZ axes is 148.37, height-to-standing ratio is 0.95, body height is 1739.8 mm, distance from floor is 1045.5 mm, and floor contact ratio is 0.0320."
"In frame 165 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.23, major to minor axis ratio is 2.31, bounding box occupancy is 0.58, spread on XZ axes is 149.46, height-to-standing ratio is 0.94, body height is 1733.4 mm, distance from floor is 1038.4 mm, and floor contact ratio is 0.0338."
"In frame 166 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.24, major to minor axis ratio is 2.28, bounding box occupancy is 0.60, spread on XZ axes is 151.29, height-to-standing ratio is 0.94, body height is 1726.2 mm, distance from floor is 1033.3 mm, and floor contact ratio is 0.0353."
"In frame 167 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.22, major to minor axis ratio is 2.27, bounding box occupancy is 0.61, spread on XZ axes is 152.34, height-to-standing ratio is 0.94, body height is 1736.2 mm, distance from floor is 1029.2 mm, and floor contact ratio is 0.0383."
"In frame 168 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.23, major to minor axis ratio is 2.26, bounding box occupancy is 0.62, spread on XZ axes is 152.90, height-to-standing ratio is 0.94, body height is 1724.6 mm, distance from floor is 1023.8 mm, and floor contact ratio is 0.0425."
"In frame 169 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.21, major to minor axis ratio is 2.26, bounding box occupancy is 0.63, spread on XZ axes is 153.52, height-to-standing ratio is 0.93, body height is 1718.9 mm, distance from floor is 1022.7 mm, and floor contact ratio is 0.0467."
"In frame 170 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.18, major to minor axis ratio is 2.26, bounding box occupancy is 0.63, spread on XZ axes is 153.63, height-to-standing ratio is 0.93, body height is 1702.1 mm, distance from floor is 1025.6 mm, and floor contact ratio is 0.0470."
"In frame 171 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.22, major to minor axis ratio is 2.25, bounding box occupancy is 0.64, spread on XZ axes is 153.88, height-to-standing ratio is 0.93, body height is 1715.9 mm, distance from floor is 1028.8 mm, and floor contact ratio is 0.0444."
"In frame 172 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.20, major to minor axis ratio is 2.25, bounding box occupancy is 0.64, spread on XZ axes is 153.98, height-to-standing ratio is 0.93, body height is 1704.8 mm, distance from floor is 1030.1 mm, and floor contact ratio is 0.0447."
"In frame 173 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.22, major to minor axis ratio is 2.25, bounding box occupancy is 0.64, spread on XZ axes is 154.11, height-to-standing ratio is 0.93, body height is 1716.2 mm, distance from floor is 1036.1 mm, and floor contact ratio is 0.0416."
"In frame 174 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.16, major to minor axis ratio is 2.23, bounding box occupancy is 0.64, spread on XZ axes is 153.88, height-to-standing ratio is 0.92, body height is 1696.6 mm, distance from floor is 1035.3 mm, and floor contact ratio is 0.0397."
"In frame 175 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.18, major to minor axis ratio is 2.23, bounding box occupancy is 0.65, spread on XZ axes is 152.81, height-to-standing ratio is 0.92, body height is 1696.0 mm, distance from floor is 1035.0 mm, and floor contact ratio is 0.0376."
"In frame 176 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.18, major to minor axis ratio is 2.24, bounding box occupancy is 0.65, spread on XZ axes is 151.34, height-to-standing ratio is 0.92, body height is 1696.3 mm, distance from floor is 1036.8 mm, and floor contact ratio is 0.0374."
"In frame 177 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.18, major to minor axis ratio is 2.24, bounding box occupancy is 0.66, spread on XZ axes is 149.47, height-to-standing ratio is 0.92, body height is 1684.5 mm, distance from floor is 1035.4 mm, and floor contact ratio is 0.0365."
"In frame 178 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.24, major to minor axis ratio is 2.26, bounding box occupancy is 0.67, spread on XZ axes is 146.91, height-to-standing ratio is 0.91, body height is 1674.8 mm, distance from floor is 1031.1 mm, and floor contact ratio is 0.0385."
"In frame 179 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.24, major to minor axis ratio is 2.27, bounding box occupancy is 0.68, spread on XZ axes is 144.27, height-to-standing ratio is 0.90, body height is 1656.0 mm, distance from floor is 1027.7 mm, and floor contact ratio is 0.0392."
"In frame 180 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.19, major to minor axis ratio is 2.27, bounding box occupancy is 0.67, spread on XZ axes is 141.80, height-to-standing ratio is 0.89, body height is 1641.1 mm, distance from floor is 1021.9 mm, and floor contact ratio is 0.0411."
"In frame 181 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.08, major to minor axis ratio is 2.29, bounding box occupancy is 0.64, spread on XZ axes is 145.01, height-to-standing ratio is 0.88, body height is 1622.6 mm, distance from floor is 1016.5 mm, and floor contact ratio is 0.0419."
"In frame 182 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.08, major to minor axis ratio is 2.30, bounding box occupancy is 0.63, spread on XZ axes is 150.55, height-to-standing ratio is 0.88, body height is 1618.4 mm, distance from floor is 1009.5 mm, and floor contact ratio is 0.0429."
"In frame 183 of sequence 'adl-37', the person is normal. The body height to width ratio is 2.03, major to minor axis ratio is 2.33, bounding box occupancy is 0.62, spread on XZ axes is 155.82, height-to-standing ratio is 0.87, body height is 1596.1 mm, distance from floor is 1002.8 mm, and floor contact ratio is 0.0452."
"In frame 184 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.98, major to minor axis ratio is 2.36, bounding box occupancy is 0.61, spread on XZ axes is 160.11, height-to-standing ratio is 0.86, body height is 1580.5 mm, distance from floor is 994.6 mm, and floor contact ratio is 0.0503."
"In frame 185 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.96, major to minor axis ratio is 2.39, bounding box occupancy is 0.60, spread on XZ axes is 163.79, height-to-standing ratio is 0.86, body height is 1578.3 mm, distance from floor is 989.8 mm, and floor contact ratio is 0.0527."
"In frame 186 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.94, major to minor axis ratio is 2.44, bounding box occupancy is 0.59, spread on XZ axes is 166.25, height-to-standing ratio is 0.86, body height is 1574.7 mm, distance from floor is 985.8 mm, and floor contact ratio is 0.0555."
"In frame 187 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.94, major to minor axis ratio is 2.50, bounding box occupancy is 0.58, spread on XZ axes is 167.31, height-to-standing ratio is 0.85, body height is 1561.4 mm, distance from floor is 981.5 mm, and floor contact ratio is 0.0613."
"In frame 188 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.85, major to minor axis ratio is 2.50, bounding box occupancy is 0.55, spread on XZ axes is 165.65, height-to-standing ratio is 0.85, body height is 1557.2 mm, distance from floor is 983.3 mm, and floor contact ratio is 0.0613."
"In frame 189 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.80, major to minor axis ratio is 2.48, bounding box occupancy is 0.53, spread on XZ axes is 162.16, height-to-standing ratio is 0.84, body height is 1550.6 mm, distance from floor is 985.6 mm, and floor contact ratio is 0.0593."
"In frame 190 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.75, major to minor axis ratio is 2.47, bounding box occupancy is 0.51, spread on XZ axes is 159.34, height-to-standing ratio is 0.84, body height is 1544.2 mm, distance from floor is 988.4 mm, and floor contact ratio is 0.0558."
"In frame 191 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.72, major to minor axis ratio is 2.44, bounding box occupancy is 0.49, spread on XZ axes is 155.32, height-to-standing ratio is 0.84, body height is 1542.4 mm, distance from floor is 991.0 mm, and floor contact ratio is 0.0524."
"In frame 192 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.68, major to minor axis ratio is 2.41, bounding box occupancy is 0.48, spread on XZ axes is 149.92, height-to-standing ratio is 0.83, body height is 1530.1 mm, distance from floor is 991.8 mm, and floor contact ratio is 0.0502."
"In frame 193 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.64, major to minor axis ratio is 2.38, bounding box occupancy is 0.47, spread on XZ axes is 146.44, height-to-standing ratio is 0.83, body height is 1520.5 mm, distance from floor is 989.9 mm, and floor contact ratio is 0.0479."
"In frame 194 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.59, major to minor axis ratio is 2.34, bounding box occupancy is 0.45, spread on XZ axes is 139.87, height-to-standing ratio is 0.82, body height is 1511.3 mm, distance from floor is 993.3 mm, and floor contact ratio is 0.0417."
"In frame 195 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.58, major to minor axis ratio is 2.30, bounding box occupancy is 0.45, spread on XZ axes is 142.50, height-to-standing ratio is 0.82, body height is 1505.0 mm, distance from floor is 993.4 mm, and floor contact ratio is 0.0380."
"In frame 196 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.54, major to minor axis ratio is 2.26, bounding box occupancy is 0.44, spread on XZ axes is 143.37, height-to-standing ratio is 0.81, body height is 1486.7 mm, distance from floor is 987.3 mm, and floor contact ratio is 0.0381."
"In frame 197 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.53, major to minor axis ratio is 2.25, bounding box occupancy is 0.44, spread on XZ axes is 141.52, height-to-standing ratio is 0.80, body height is 1476.2 mm, distance from floor is 983.1 mm, and floor contact ratio is 0.0367."
"In frame 198 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.50, major to minor axis ratio is 2.22, bounding box occupancy is 0.43, spread on XZ axes is 145.73, height-to-standing ratio is 0.80, body height is 1470.7 mm, distance from floor is 981.2 mm, and floor contact ratio is 0.0375."
"In frame 199 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 2.18, bounding box occupancy is 0.43, spread on XZ axes is 147.20, height-to-standing ratio is 0.79, body height is 1460.2 mm, distance from floor is 977.1 mm, and floor contact ratio is 0.0359."
"In frame 200 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.50, major to minor axis ratio is 2.17, bounding box occupancy is 0.44, spread on XZ axes is 148.63, height-to-standing ratio is 0.79, body height is 1448.7 mm, distance from floor is 972.4 mm, and floor contact ratio is 0.0368."
"In frame 201 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.47, major to minor axis ratio is 2.14, bounding box occupancy is 0.43, spread on XZ axes is 146.56, height-to-standing ratio is 0.78, body height is 1441.0 mm, distance from floor is 959.5 mm, and floor contact ratio is 0.0415."
"In frame 202 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.46, major to minor axis ratio is 2.12, bounding box occupancy is 0.44, spread on XZ axes is 143.94, height-to-standing ratio is 0.77, body height is 1424.3 mm, distance from floor is 945.8 mm, and floor contact ratio is 0.0458."
"In frame 203 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 2.10, bounding box occupancy is 0.45, spread on XZ axes is 141.18, height-to-standing ratio is 0.76, body height is 1402.7 mm, distance from floor is 932.9 mm, and floor contact ratio is 0.0476."
"In frame 204 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 2.05, bounding box occupancy is 0.45, spread on XZ axes is 145.47, height-to-standing ratio is 0.76, body height is 1392.0 mm, distance from floor is 927.2 mm, and floor contact ratio is 0.0474."
"In frame 205 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 2.04, bounding box occupancy is 0.45, spread on XZ axes is 141.90, height-to-standing ratio is 0.75, body height is 1385.0 mm, distance from floor is 916.5 mm, and floor contact ratio is 0.0503."
"In frame 206 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 2.01, bounding box occupancy is 0.45, spread on XZ axes is 144.36, height-to-standing ratio is 0.74, body height is 1369.3 mm, distance from floor is 910.7 mm, and floor contact ratio is 0.0512."
"In frame 207 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.41, major to minor axis ratio is 1.99, bounding box occupancy is 0.46, spread on XZ axes is 144.26, height-to-standing ratio is 0.74, body height is 1354.4 mm, distance from floor is 897.6 mm, and floor contact ratio is 0.0593."
"In frame 208 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 1.98, bounding box occupancy is 0.46, spread on XZ axes is 144.10, height-to-standing ratio is 0.74, body height is 1356.3 mm, distance from floor is 887.9 mm, and floor contact ratio is 0.0617."
"In frame 209 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.43, major to minor axis ratio is 1.95, bounding box occupancy is 0.47, spread on XZ axes is 143.17, height-to-standing ratio is 0.72, body height is 1332.2 mm, distance from floor is 876.6 mm, and floor contact ratio is 0.0632."
"In frame 210 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.46, major to minor axis ratio is 1.93, bounding box occupancy is 0.47, spread on XZ axes is 146.79, height-to-standing ratio is 0.73, body height is 1342.3 mm, distance from floor is 875.3 mm, and floor contact ratio is 0.0614."
"In frame 211 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.43, major to minor axis ratio is 1.89, bounding box occupancy is 0.48, spread on XZ axes is 148.02, height-to-standing ratio is 0.72, body height is 1318.0 mm, distance from floor is 865.1 mm, and floor contact ratio is 0.0614."
"In frame 212 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 1.87, bounding box occupancy is 0.48, spread on XZ axes is 148.16, height-to-standing ratio is 0.72, body height is 1317.9 mm, distance from floor is 856.6 mm, and floor contact ratio is 0.0609."
"In frame 213 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.42, major to minor axis ratio is 1.84, bounding box occupancy is 0.47, spread on XZ axes is 148.99, height-to-standing ratio is 0.71, body height is 1314.1 mm, distance from floor is 846.9 mm, and floor contact ratio is 0.0590."
"In frame 214 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.43, major to minor axis ratio is 1.82, bounding box occupancy is 0.49, spread on XZ axes is 148.98, height-to-standing ratio is 0.70, body height is 1296.5 mm, distance from floor is 836.9 mm, and floor contact ratio is 0.0567."
"In frame 215 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 1.79, bounding box occupancy is 0.50, spread on XZ axes is 148.89, height-to-standing ratio is 0.70, body height is 1280.3 mm, distance from floor is 827.1 mm, and floor contact ratio is 0.0588."
"In frame 216 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.42, major to minor axis ratio is 1.75, bounding box occupancy is 0.50, spread on XZ axes is 150.10, height-to-standing ratio is 0.69, body height is 1268.4 mm, distance from floor is 818.3 mm, and floor contact ratio is 0.0582."
"In frame 217 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 1.73, bounding box occupancy is 0.51, spread on XZ axes is 149.48, height-to-standing ratio is 0.68, body height is 1257.6 mm, distance from floor is 806.6 mm, and floor contact ratio is 0.0614."
"In frame 218 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 1.70, bounding box occupancy is 0.53, spread on XZ axes is 149.68, height-to-standing ratio is 0.68, body height is 1245.5 mm, distance from floor is 796.6 mm, and floor contact ratio is 0.0615."
"In frame 219 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.47, major to minor axis ratio is 1.68, bounding box occupancy is 0.53, spread on XZ axes is 149.36, height-to-standing ratio is 0.67, body height is 1236.4 mm, distance from floor is 785.7 mm, and floor contact ratio is 0.0612."
"In frame 220 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 1.67, bounding box occupancy is 0.54, spread on XZ axes is 148.20, height-to-standing ratio is 0.67, body height is 1224.8 mm, distance from floor is 772.9 mm, and floor contact ratio is 0.0655."
"In frame 221 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 1.65, bounding box occupancy is 0.53, spread on XZ axes is 147.77, height-to-standing ratio is 0.66, body height is 1222.9 mm, distance from floor is 760.5 mm, and floor contact ratio is 0.0660."
"In frame 222 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.48, major to minor axis ratio is 1.62, bounding box occupancy is 0.55, spread on XZ axes is 147.98, height-to-standing ratio is 0.65, body height is 1205.0 mm, distance from floor is 748.2 mm, and floor contact ratio is 0.0685."
"In frame 223 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.52, major to minor axis ratio is 1.58, bounding box occupancy is 0.56, spread on XZ axes is 148.93, height-to-standing ratio is 0.65, body height is 1196.1 mm, distance from floor is 736.2 mm, and floor contact ratio is 0.0741."
"In frame 224 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.47, major to minor axis ratio is 1.56, bounding box occupancy is 0.55, spread on XZ axes is 149.21, height-to-standing ratio is 0.64, body height is 1177.6 mm, distance from floor is 726.3 mm, and floor contact ratio is 0.0756."
"In frame 225 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.48, major to minor axis ratio is 1.57, bounding box occupancy is 0.54, spread on XZ axes is 148.13, height-to-standing ratio is 0.64, body height is 1184.0 mm, distance from floor is 720.0 mm, and floor contact ratio is 0.0776."
"In frame 226 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.48, major to minor axis ratio is 1.58, bounding box occupancy is 0.53, spread on XZ axes is 148.55, height-to-standing ratio is 0.65, body height is 1190.7 mm, distance from floor is 715.9 mm, and floor contact ratio is 0.0800."
"In frame 227 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.48, major to minor axis ratio is 1.60, bounding box occupancy is 0.52, spread on XZ axes is 150.72, height-to-standing ratio is 0.65, body height is 1200.3 mm, distance from floor is 714.2 mm, and floor contact ratio is 0.0807."
"In frame 228 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.51, major to minor axis ratio is 1.64, bounding box occupancy is 0.52, spread on XZ axes is 152.07, height-to-standing ratio is 0.66, body height is 1220.4 mm, distance from floor is 713.6 mm, and floor contact ratio is 0.0804."
"In frame 229 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 1.68, bounding box occupancy is 0.51, spread on XZ axes is 153.52, height-to-standing ratio is 0.66, body height is 1222.9 mm, distance from floor is 713.6 mm, and floor contact ratio is 0.0801."
"In frame 230 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.52, major to minor axis ratio is 1.74, bounding box occupancy is 0.51, spread on XZ axes is 154.38, height-to-standing ratio is 0.67, body height is 1228.8 mm, distance from floor is 714.3 mm, and floor contact ratio is 0.0803."
"In frame 231 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.58, major to minor axis ratio is 1.79, bounding box occupancy is 0.51, spread on XZ axes is 154.86, height-to-standing ratio is 0.69, body height is 1267.8 mm, distance from floor is 718.2 mm, and floor contact ratio is 0.0778."
"In frame 232 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.60, major to minor axis ratio is 1.86, bounding box occupancy is 0.51, spread on XZ axes is 155.56, height-to-standing ratio is 0.69, body height is 1274.7 mm, distance from floor is 718.3 mm, and floor contact ratio is 0.0744."
"In frame 233 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.59, major to minor axis ratio is 1.90, bounding box occupancy is 0.50, spread on XZ axes is 157.84, height-to-standing ratio is 0.70, body height is 1281.4 mm, distance from floor is 715.4 mm, and floor contact ratio is 0.0781."
"In frame 234 of sequence 'adl-37', the person is normal. The body height to width ratio is 1.62, major to minor axis ratio is 1.95, bounding box occupancy is 0.50, spread on XZ axes is 159.48, height-to-standing ratio is 0.70, body height is 1290.2 mm, distance from floor is 712.0 mm, and floor contact ratio is 0.0839."
"In frame 270 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.58, major to minor axis ratio is 1.78, bounding box occupancy is 0.52, spread on XZ axes is 159.77, height-to-standing ratio is 0.47, body height is 864.4 mm, distance from floor is 636.6 mm, and floor contact ratio is 0.0000."
"In frame 271 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.59, major to minor axis ratio is 1.74, bounding box occupancy is 0.53, spread on XZ axes is 154.59, height-to-standing ratio is 0.46, body height is 843.9 mm, distance from floor is 632.8 mm, and floor contact ratio is 0.0000."
"In frame 272 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.61, major to minor axis ratio is 1.70, bounding box occupancy is 0.53, spread on XZ axes is 153.36, height-to-standing ratio is 0.45, body height is 833.0 mm, distance from floor is 628.9 mm, and floor contact ratio is 0.0000."
"In frame 273 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.63, major to minor axis ratio is 1.73, bounding box occupancy is 0.50, spread on XZ axes is 154.27, height-to-standing ratio is 0.44, body height is 815.4 mm, distance from floor is 624.0 mm, and floor contact ratio is 0.0000."
"In frame 274 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.52, major to minor axis ratio is 1.78, bounding box occupancy is 0.56, spread on XZ axes is 153.93, height-to-standing ratio is 0.44, body height is 802.6 mm, distance from floor is 627.9 mm, and floor contact ratio is 0.0000."
"In frame 275 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.52, major to minor axis ratio is 1.79, bounding box occupancy is 0.56, spread on XZ axes is 152.70, height-to-standing ratio is 0.42, body height is 774.8 mm, distance from floor is 622.6 mm, and floor contact ratio is 0.0000."
"In frame 276 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.52, major to minor axis ratio is 1.81, bounding box occupancy is 0.55, spread on XZ axes is 152.88, height-to-standing ratio is 0.42, body height is 772.4 mm, distance from floor is 618.1 mm, and floor contact ratio is 0.0000."
"In frame 277 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.80, major to minor axis ratio is 1.26, bounding box occupancy is 0.54, spread on XZ axes is 310.38, height-to-standing ratio is 0.46, body height is 840.1 mm, distance from floor is 639.5 mm, and floor contact ratio is 0.0000."
"In frame 278 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.49, major to minor axis ratio is 1.85, bounding box occupancy is 0.55, spread on XZ axes is 153.68, height-to-standing ratio is 0.41, body height is 748.9 mm, distance from floor is 611.8 mm, and floor contact ratio is 0.0000."
"In frame 279 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.74, major to minor axis ratio is 1.28, bounding box occupancy is 0.52, spread on XZ axes is 310.58, height-to-standing ratio is 0.45, body height is 829.3 mm, distance from floor is 633.5 mm, and floor contact ratio is 0.0000."
